"ticket_id","customer_id","subscription_id","integration_id","created_at","priority","category","subject","status","assigned_team","resolved_at","resolution_type","customer_impact"
27,8,8,26,"2022-06-28 00:00:00","Medium","Billing","Billing Issue - Integration sync failure","Resolved","DevOps","2022-07-09 00:00:00","Self-Resolved","Integration sync failure"
28,9,9,27,"2023-01-29 00:00:00","Low","Access","Access Issue - User access denied","Resolved","Integration Team","2023-02-01 00:00:00","L1 Resolved","User access denied"
29,9,9,29,"2023-05-04 00:00:00","Medium","Billing","Billing Issue - Payment gateway down","Investigating","API Team","0000-00-00 00:00:00","","Payment gateway down"
30,9,9,29,"2023-01-15 00:00:00","Medium","API","API Issue - Data sync lag","Escalated","Customer Success","2023-01-25 00:00:00","","Data sync lag"
31,9,9,27,"2022-08-03 00:00:00","Low","Access","Access Issue - Payment gateway down","Resolved","Customer Success","2022-08-14 00:00:00","Self-Resolved","Payment gateway down"
32,10,10,32,"2023-12-14 00:00:00","Critical","Billing","Billing Issue - User access denied","Resolved","DevOps","2023-12-23 00:00:00","L1 Resolved","User access denied"
33,10,10,31,"2024-07-17 00:00:00","High","Integration","Integration Issue - Checkout flow broken","Open","API Team","0000-00-00 00:00:00","","Checkout flow broken"
34,10,10,34,"2024-02-20 00:00:00","Low","Billing","Billing Issue - User access denied","Investigating","Billing Support","0000-00-00 00:00:00","","User access denied"
35,10,10,33,"2024-04-17 00:00:00","Low","API","API Issue - User access denied","Resolved","Customer Success","2024-04-24 00:00:00","L1 Resolved","User access denied"
36,10,10,32,"2024-07-24 00:00:00","Critical","API","API Issue - Inventory sync error","Open","Billing Support","0000-00-00 00:00:00","","Inventory sync error"
37,14,14,51,"2022-10-16 00:00:00","Low","Billing","Billing Issue - Webhook delivery delay","Resolved","Customer Success","2022-10-20 00:00:00","Escalated","Webhook delivery delay"
38,15,15,53,"2024-01-21 00:00:00","Medium","Integration","Integration Issue - Inventory sync error","Resolved","Customer Success","2024-01-30 00:00:00","Self-Resolved","Inventory sync error"
39,15,15,54,"2024-04-08 00:00:00","Low","Billing","Billing Issue - Checkout flow broken","Resolved","DevOps","2024-04-17 00:00:00","Escalated","Checkout flow broken"
40,15,15,53,"2023-07-28 00:00:00","Low","Integration","Integration Issue - Data sync lag","Resolved","DevOps","2023-08-11 00:00:00","L1 Resolved","Data sync lag"
41,16,16,56,"2021-10-28 00:00:00","High","Performance","Performance Issue - Checkout flow broken","Investigating","API Team","0000-00-00 00:00:00","","Checkout flow broken"
42,17,17,60,"2022-05-03 00:00:00","Critical","Access","Access Issue - User access denied","Escalated","Billing Support","2022-05-04 00:00:00","","User access denied"
43,17,17,61,"2021-02-24 00:00:00","Low","Performance","Performance Issue - Payment gateway down","Resolved","Technical Support","2021-03-05 00:00:00","Escalated","Payment gateway down"
44,17,17,60,"2021-09-02 00:00:00","Critical","Performance","Performance Issue - API timeout affecting checkout","Open","DevOps","0000-00-00 00:00:00","","API timeout affecting checkout"
45,17,17,60,"2022-04-06 00:00:00","Low","Billing","Billing Issue - Reporting data inaccurate","Investigating","DevOps","0000-00-00 00:00:00","","Reporting data inaccurate"
46,17,17,61,"2021-09-27 00:00:00","Medium","Billing","Billing Issue - Delayed order processing","Investigating","Billing Support","0000-00-00 00:00:00","","Delayed order processing"
47,18,18,64,"2023-08-15 00:00:00","Medium","Access","Access Issue - Delayed order processing","Resolved","DevOps","2023-08-26 00:00:00","L1 Resolved","Delayed order processing"
48,20,20,70,"2021-12-24 00:00:00","Medium","Access","Access Issue - API timeout affecting checkout","Resolved","API Team","2021-12-29 00:00:00","Self-Resolved","API timeout affecting checkout"
49,21,21,72,"2026-07-25 09:00:00","Low","API","API Issue - Requests timing out","Investigating","Technical Support","","","API requests intermittently timing out and failing to complete"
50,21,21,72,"2026-08-05 09:00:00","High","Integration","Integration Issue - Domain not resolving","Investigating","Technical Support","","","Integration domain intermittently resolves to an IP address instead of the expected domain endpoint"
51,21,21,72,"2024-04-28 00:00:00","Medium","Access","Access Issue - Integration sync failure","Resolved","Customer Success","2024-05-01 00:00:00","L1 Resolved","Integration sync failure"
52,24,24,82,"2023-03-24 00:00:00","Low","Performance","Performance Issue - Minor inconvenience","Resolved","DevOps","2023-04-06 00:00:00","L1 Resolved","Minor inconvenience"
53,24,24,82,"2023-08-05 00:00:00","Critical","Integration","Integration Issue - Payment gateway down","Resolved","Technical Support","2023-08-08 00:00:00","Escalated","Payment gateway down"
54,24,24,81,"2022-12-28 00:00:00","Medium","Billing","Billing Issue - Payment gateway down","Resolved","DevOps","2023-01-06 00:00:00","Self-Resolved","Payment gateway down"
55,24,24,82,"2022-07-15 00:00:00","Medium","API","API Issue - Inventory sync error","Resolved","API Team","2022-07-25 00:00:00","L1 Resolved","Inventory sync error"
56,26,26,0,"2022-08-23 00:00:00","High","Billing","Billing Issue - Minor inconvenience","Escalated","Customer Success","2022-08-29 00:00:00","","Minor inconvenience"
57,26,26,0,"2021-11-12 00:00:00","High","Access","Access Issue - Minor inconvenience","Escalated","Billing Support","2021-11-20 00:00:00","","Minor inconvenience"
58,26,26,0,"2022-06-27 00:00:00","High","Performance","Performance Issue - Reporting data inaccurate","Escalated","DevOps","2022-07-11 00:00:00","","Reporting data inaccurate"
59,27,27,86,"2021-06-14 00:00:00","High","Integration","Integration Issue - Delayed order processing","Escalated","Integration Team","2021-06-24 00:00:00","","Delayed order processing"
60,27,27,86,"2022-07-28 00:00:00","Critical","Performance","Performance Issue - Data sync lag","Escalated","DevOps","2022-08-03 00:00:00","","Data sync lag"
61,27,27,86,"2021-03-20 00:00:00","High","API","API Issue - Delayed order processing","Escalated","Technical Support","2021-03-23 00:00:00","","Delayed order processing"
62,27,27,86,"2021-06-01 00:00:00","Medium","Access","Access Issue - Slow dashboard loading","Resolved","Integration Team","2021-06-12 00:00:00","Escalated","Slow dashboard loading"
63,27,27,86,"2022-02-25 00:00:00","High","API","API Issue - Payment gateway down","Resolved","Technical Support","2022-03-08 00:00:00","L1 Resolved","Payment gateway down"
64,27,27,86,"2022-01-04 00:00:00","High","API","API Issue - API timeout affecting checkout","Resolved","Technical Support","2022-01-14 00:00:00","L1 Resolved","API timeout affecting checkout"
65,28,28,87,"2022-07-16 00:00:00","High","Performance","Performance Issue - Delayed order processing","Resolved","Integration Team","2022-07-28 00:00:00","Escalated","Delayed order processing"
66,28,28,87,"2022-01-17 00:00:00","Critical","Integration","Integration Issue - API timeout affecting checkout","Resolved","DevOps","2022-01-21 00:00:00","Self-Resolved","API timeout affecting checkout"
67,28,28,87,"2022-02-13 00:00:00","High","API","API Issue - Reporting data inaccurate","Escalated","Technical Support","2022-02-21 00:00:00","","Reporting data inaccurate"
68,28,28,88,"2021-09-22 00:00:00","High","Billing","Billing Issue - Checkout flow broken","Resolved","Technical Support","2021-09-26 00:00:00","Self-Resolved","Checkout flow broken"
69,28,28,87,"2022-01-17 00:00:00","Low","Integration","Integration Issue - Delayed order processing","Resolved","Integration Team","2022-01-30 00:00:00","Self-Resolved","Delayed order processing"
70,28,28,88,"2022-02-13 00:00:00","Medium","Performance","Performance Issue - Webhook delivery delay","Resolved","API Team","2022-02-26 00:00:00","Self-Resolved","Webhook delivery delay"
71,30,30,95,"2023-06-11 00:00:00","Medium","Integration","Integration Issue - Inventory sync error","Resolved","Billing Support","2023-06-18 00:00:00","Self-Resolved","Inventory sync error"
72,30,30,95,"2023-04-18 00:00:00","Low","Integration","Integration Issue - Reporting data inaccurate","Resolved","Integration Team","2023-05-02 00:00:00","Escalated","Reporting data inaccurate"
73,30,30,92,"2023-01-22 00:00:00","Low","Billing","Billing Issue - Webhook delivery delay","Resolved","Customer Success","2023-01-24 00:00:00","L1 Resolved","Webhook delivery delay"
74,30,30,95,"2023-10-29 00:00:00","Medium","Access","Access Issue - Webhook delivery delay","Open","API Team","0000-00-00 00:00:00","","Webhook delivery delay"
75,30,30,92,"2023-01-24 00:00:00","High","Integration","Integration Issue - Webhook delivery delay","Resolved","Integration Team","2023-02-03 00:00:00","Self-Resolved","Webhook delivery delay"
76,31,31,98,"2023-04-16 00:00:00","Medium","API","API Issue - Integration sync failure","Resolved","Customer Success","2023-04-25 00:00:00","Escalated","Integration sync failure"
77,31,31,97,"2022-09-30 00:00:00","High","Billing","Billing Issue - Delayed order processing","Resolved","DevOps","2022-10-08 00:00:00","L1 Resolved","Delayed order processing"
78,31,31,99,"2022-10-02 00:00:00","High","Performance","Performance Issue - API timeout affecting checkout","Resolved","Customer Success","2022-10-13 00:00:00","L1 Resolved","API timeout affecting checkout"
79,31,31,98,"2022-03-13 00:00:00","High","API","API Issue - Delayed order processing","Resolved","Technical Support","2022-03-23 00:00:00","L1 Resolved","Delayed order processing"
80,32,32,100,"2022-04-24 00:00:00","Medium","Integration","Integration Issue - User access denied","Resolved","Customer Success","2022-05-01 00:00:00","Self-Resolved","User access denied"
81,32,32,100,"2023-07-21 00:00:00","Medium","API","API Issue - Checkout flow broken","Resolved","Technical Support","2023-07-29 00:00:00","L1 Resolved","Checkout flow broken"
82,34,34,108,"2024-03-03 00:00:00","High","API","API Issue - Payment gateway down","Resolved","Billing Support","2024-03-14 00:00:00","Escalated","Payment gateway down"
83,34,34,108,"2024-10-27 00:00:00","Medium","Access","Access Issue - Webhook delivery delay","Resolved","Technical Support","2024-11-02 00:00:00","Escalated","Webhook delivery delay"
84,34,34,108,"2024-03-07 00:00:00","Low","Billing","Billing Issue - User access denied","Resolved","API Team","2024-03-16 00:00:00","Self-Resolved","User access denied"
85,34,34,107,"2023-12-10 00:00:00","Critical","Access","Access Issue - Payment gateway down","Investigating","Integration Team","0000-00-00 00:00:00","","Payment gateway down"
86,34,34,107,"2024-04-05 00:00:00","Low","API","API Issue - User access denied","Resolved","API Team","2024-04-07 00:00:00","L1 Resolved","User access denied"
87,34,34,108,"2024-10-12 00:00:00","Medium","Performance","Performance Issue - Integration sync failure","Escalated","Integration Team","2024-10-21 00:00:00","","Integration sync failure"
88,34,34,107,"2024-10-22 00:00:00","High","Integration","Integration Issue - Checkout flow broken","Resolved","DevOps","2024-11-04 00:00:00","Escalated","Checkout flow broken"
89,36,36,111,"2021-10-15 00:00:00","Medium","Integration","Integration Issue - Payment gateway down","Resolved","Integration Team","2021-10-19 00:00:00","Self-Resolved","Payment gateway down"
90,36,36,111,"2022-12-19 00:00:00","High","Performance","Performance Issue - Integration sync failure","Open","API Team","0000-00-00 00:00:00","","Integration sync failure"
91,36,36,111,"2021-10-03 00:00:00","High","Access","Access Issue - API timeout affecting checkout","Open","API Team","0000-00-00 00:00:00","","API timeout affecting checkout"
92,36,36,111,"2022-02-14 00:00:00","Medium","Performance","Performance Issue - Inventory sync error","Investigating","Integration Team","0000-00-00 00:00:00","","Inventory sync error"
93,36,36,111,"2022-08-29 00:00:00","Medium","API","API Issue - Payment gateway down","Resolved","Technical Support","2022-09-02 00:00:00","L1 Resolved","Payment gateway down"
94,36,36,111,"2022-09-19 00:00:00","Medium","Billing","Billing Issue - Minor inconvenience","Resolved","Integration Team","2022-09-30 00:00:00","Self-Resolved","Minor inconvenience"
95,37,37,115,"2024-04-18 00:00:00","Medium","Performance","Performance Issue - Integration sync failure","Resolved","Technical Support","2024-04-26 00:00:00","Self-Resolved","Integration sync failure"
96,37,37,114,"2024-06-24 00:00:00","Medium","Billing","Billing Issue - Minor inconvenience","Resolved","Integration Team","2024-07-01 00:00:00","Self-Resolved","Minor inconvenience"
97,38,38,116,"2022-11-01 00:00:00","Low","Billing","Billing Issue - Minor inconvenience","Resolved","Customer Success","2022-11-09 00:00:00","Self-Resolved","Minor inconvenience"
98,38,38,116,"2022-01-15 00:00:00","Medium","Billing","Billing Issue - Reporting data inaccurate","Investigating","Technical Support","0000-00-00 00:00:00","","Reporting data inaccurate"
99,38,38,116,"2022-07-07 00:00:00","Low","Access","Access Issue - API timeout affecting checkout","Resolved","Integration Team","2022-07-17 00:00:00","Escalated","API timeout affecting checkout"
100,38,38,116,"2022-01-15 00:00:00","Medium","Access","Access Issue - API timeout affecting checkout","Resolved","DevOps","2022-01-22 00:00:00","Escalated","API timeout affecting checkout"
101,38,38,116,"2022-09-16 00:00:00","Low","Billing","Billing Issue - Webhook delivery delay","Resolved","Technical Support","2022-09-29 00:00:00","Self-Resolved","Webhook delivery delay"
102,39,39,118,"2023-09-28 00:00:00","Critical","API","API Issue - Data sync lag","Resolved","Customer Success","2023-09-29 00:00:00","Escalated","Data sync lag"
103,40,40,121,"2021-12-12 00:00:00","High","Integration","Integration Issue - User access denied","Investigating","Integration Team","0000-00-00 00:00:00","","User access denied"
104,40,40,122,"2021-05-03 00:00:00","Medium","Billing","Billing Issue - Integration sync failure","Investigating","Customer Success","0000-00-00 00:00:00","","Integration sync failure"
105,40,40,122,"2021-05-02 00:00:00","Medium","Access","Access Issue - Slow dashboard loading","Investigating","API Team","0000-00-00 00:00:00","","Slow dashboard loading"
106,40,40,121,"2021-03-24 00:00:00","Medium","Access","Access Issue - Reporting data inaccurate","Resolved","API Team","2021-04-03 00:00:00","Self-Resolved","Reporting data inaccurate"
107,41,41,125,"2022-04-15 00:00:00","Medium","Integration","Integration Issue - Reporting data inaccurate","Resolved","Integration Team","2022-04-23 00:00:00","Escalated","Reporting data inaccurate"
108,41,41,127,"2022-09-19 00:00:00","Critical","API","API Issue - Reporting data inaccurate","Resolved","Integration Team","2022-09-25 00:00:00","Self-Resolved","Reporting data inaccurate"
109,43,43,135,"2023-06-18 00:00:00","Medium","Access","Access Issue - Integration sync failure","Investigating","DevOps","0000-00-00 00:00:00","","Integration sync failure"
110,43,43,136,"2024-02-21 00:00:00","High","Integration","Integration Issue - Data sync lag","Resolved","Technical Support","2024-02-27 00:00:00","Self-Resolved","Data sync lag"
111,43,43,133,"2023-06-30 00:00:00","Critical","API","API Issue - Inventory sync error","Resolved","Technical Support","2023-07-11 00:00:00","Self-Resolved","Inventory sync error"
112,44,44,139,"2023-09-01 00:00:00","Medium","Billing","Billing Issue - Minor inconvenience","Resolved","DevOps","2023-09-09 00:00:00","L1 Resolved","Minor inconvenience"
113,44,44,138,"2024-03-07 00:00:00","Critical","Billing","Billing Issue - API timeout affecting checkout","Investigating","Customer Success","0000-00-00 00:00:00","","API timeout affecting checkout"
114,44,44,139,"2024-05-31 00:00:00","Critical","Access","Access Issue - Inventory sync error","Investigating","Integration Team","0000-00-00 00:00:00","","Inventory sync error"
115,44,44,139,"2023-12-27 00:00:00","Medium","Performance","Performance Issue - Slow dashboard loading","Resolved","Integration Team","2023-12-28 00:00:00","Self-Resolved","Slow dashboard loading"
116,45,45,143,"2024-07-10 00:00:00","High","Access","Access Issue - API timeout affecting checkout","Resolved","Customer Success","2024-07-13 00:00:00","Self-Resolved","API timeout affecting checkout"
117,45,45,142,"2024-03-16 00:00:00","Medium","Performance","Performance Issue - Integration sync failure","Resolved","Integration Team","2024-03-27 00:00:00","Self-Resolved","Integration sync failure"
118,45,45,142,"2023-11-30 00:00:00","Low","Billing","Billing Issue - API timeout affecting checkout","Resolved","Billing Support","2023-12-06 00:00:00","Escalated","API timeout affecting checkout"
119,46,46,148,"2024-02-24 00:00:00","Critical","API","API Issue - Data sync lag","Investigating","Billing Support","0000-00-00 00:00:00","","Data sync lag"
120,46,46,146,"2024-05-19 00:00:00","Critical","Integration","Integration Issue - Webhook delivery delay","Investigating","DevOps","0000-00-00 00:00:00","","Webhook delivery delay"
121,46,46,145,"2023-09-28 00:00:00","Critical","Performance","Performance Issue - Webhook delivery delay","Resolved","Technical Support","2023-10-05 00:00:00","Escalated","Webhook delivery delay"
122,21,21,72,"2026-08-20 09:15:00","High","Billing","Billing Issue - Unexpected charge","Escalated to Billing Support","Billing Support","","","Unexpected billing charge affecting customer account"
